vars	mean_control	coef_anytransfer	coef_uncond_mere	coef_cond_pere	coef_cond_mere	N	p_val_CCT_dif_UCT	p_val_mo_dif_fa
"enroll_attend_May2010"	"0.737"	"0.074"	"0.004"	"-0.019"	"-0.021"	11074	"0.01***"	"0.962"
""	"[0.44]"	"(0.016)***"	"(0.014)"	"(0.012)"	"(0.013)"		""	""
"dropout_since2008_grade_1234"	"0.1"	"-0.076"	"-0.005"	"0.014"	"0.004"	5998	"0.012**"	"0.122"
""	"[0.3]"	"(0.012)***"	"(0.008)"	"(0.007)**"	"(0.007)"		""	""
"dropout08_enroll10"	"0.147"	"0.121"	"0.005"	"-0.058"	"-0.044"	1264	"0.061*"	"0.553"
""	"[0.355]"	"(0.041)***"	"(0.048)"	"(0.041)"	"(0.04)"		""	""
"neverenrolled"	"0.035"	"-0.011"	"0.003"	"0.012"	"0.001"	11072	"0.205"	"0.091*"
""	"[0.185]"	"(0.008)"	"(0.006)"	"(0.006)**"	"(0.005)"		""	""
"dropout_g14"	"0.076"	"-0.051"	"0.006"	"0.004"	"-0.002"	35755	"0.54"	"0.497"
""	"[0.265]"	"(0.01)***"	"(0.006)"	"(0.005)"	"(0.005)"		""	""
"dropout_g14_y1"	"0.029"	"-0.017"	"0.001"	"0.000"	"-0.004"	35755	"0.339"	"0.277"
""	"[0.168]"	"(0.007)**"	"(0.004)"	"(0.003)"	"(0.003)"		""	""
"dropout_g14_y2"	"0.048"	"-0.036"	"0.005"	"0.004"	"0.002"	35215	"0.976"	"0.904"
""	"[0.214]"	"(0.005)***"	"(0.004)"	"(0.003)"	"(0.003)"		""	""
"attenance_all"	"0.955"	"0.007"	"0.002"	"0.007"	"0.007"	86694	"0.125"	"0.918"
""	"[0.206]"	"(0.01)"	"(0.009)"	"(0.007)"	"(0.007)"		""	""
"completed_g5"	"0.644"	"0.079"	"-0.029"	"-0.025"	"-0.041"	6680	"0.408"	"0.46"
""	"[0.479]"	"(0.032)**"	"(0.036)"	"(0.035)"	"(0.031)"		""	""
