vars	mean_control	coef_anytransfer	coef_uncond_mere	coef_cond_pere	coef_cond_mere	N	p_val_CCT_dif_UCT	p_val_mo_dif_fa
"attrition_baseline"	"0.038"	"0.000"	"-0.004"	"0.007"	"-0.003"	5032	"0.81"	"0.58"
""	"[0.192]"	"(0.026)"	"(0.028)"	"(0.024)"	"(0.025)"		""	""
"attrition_endline_whole"	"0.123"	"-0.036"	"-0.007"	"0.005"	"-0.001"	4832	"0.653"	"0.609"
""	"[0.328]"	"(0.02)*"	"(0.023)"	"(0.018)"	"(0.018)"		""	""
"attrition_endline_whole_cor"	"0.116"	"-0.035"	"-0.01"	"0.004"	"0.000"	4796	"0.557"	"0.617"
""	"[0.321]"	"(0.02)*"	"(0.023)"	"(0.018)"	"(0.017)"		""	""
"attrition"	"0.123"	"-0.036"	"-0.007"	"0.005"	"-0.001"	4832	"0.653"	"0.609"
""	"[0.328]"	"(0.02)*"	"(0.023)"	"(0.018)"	"(0.018)"		""	""
"attrition_moved"	"0.044"	"-0.028"	"0.012"	"0.019"	"0.022"	4832	"0.038**"	"0.407"
""	"[0.204]"	"(0.01)***"	"(0.013)"	"(0.009)**"	"(0.009)***"		""	""
"attrition_not_in_town"	"0.028"	"-0.004"	"0.002"	"0.005"	"0.001"	4832	"0.728"	"0.675"
""	"[0.164]"	"(0.008)"	"(0.008)"	"(0.007)"	"(0.007)"		""	""
"attrition_refused"	"0.007"	"-0.002"	"0.003"	"-0.002"	"0.002"	4832	"0.588"	"0.208"
""	"[0.083]"	"(0.005)"	"(0.005)"	"(0.004)"	"(0.004)"		""	""
"attrition_fusion"	"0.004"	"0.002"	"0.002"	"-0.002"	"-0.003"	4832	"0.121"	"0.991"
""	"[0.063]"	"(0.004)"	"(0.005)"	"(0.004)"	"(0.003)"		""	""
"attrition_unknown"	"0.012"	"0.003"	"-0.008"	"-0.001"	"-0.006"	4832	"0.913"	"0.133"
""	"[0.109]"	"(0.007)"	"(0.006)"	"(0.005)"	"(0.005)"		""	""
"attrition_unreachable"	"0.025"	"-0.003"	"-0.02"	"-0.017"	"-0.019"	4832	"0.242"	"0.241"
""	"[0.156]"	"(0.016)"	"(0.014)"	"(0.013)"	"(0.013)"		""	""
"attrition_other"	"0.003"	"-0.003"	"0.001"	"0.003"	"0.002"	4832	"0.227"	"0.793"
